Conversion Results
Decimal: -39.0 | Binary: b100111 | Hexadecimal: X27 
Decimal: -36.0 | Binary: b100100 | Hexadecimal: X24 
Decimal: 8.0 | Binary: 1000 | Hexadecimal: 8 
Decimal: 34.0 | Binary: 100010 | Hexadecimal: 22 
Decimal: 17.0 | Binary: 10001 | Hexadecimal: 11 
Decimal: 49.0 | Binary: 110001 | Hexadecimal: 31 
Decimal: 5.0 | Binary: 101 | Hexadecimal: 5 
Decimal: 39.0 | Binary: 100111 | Hexadecimal: 27 
Decimal: 0.0 | Binary: 0 | Hexadecimal: 0 
Decimal: 33.0 | Binary: 100001 | Hexadecimal: 21 
Decimal: 12.0 | Binary: 1100 | Hexadecimal: C 
Decimal: -6.0 | Binary: b110 | Hexadecimal: X6 
Decimal: 27.0 | Binary: 11011 | Hexadecimal: 1B 
Decimal: -4.0 | Binary: b100 | Hexadecimal: X4 
Decimal: -38.0 | Binary: b100110 | Hexadecimal: X26 
Decimal: 26.0 | Binary: 11010 | Hexadecimal: 1A 
Decimal: 49.0 | Binary: 110001 | Hexadecimal: 31 
Decimal: 29.0 | Binary: 11101 | Hexadecimal: 1D 
Decimal: 42.0 | Binary: 101010 | Hexadecimal: 2A 
Decimal: -16.0 | Binary: b10000 | Hexadecimal: X10 
Decimal: -28.0 | Binary: b11100 | Hexadecimal: X1C 
Decimal: 34.0 | Binary: 100010 | Hexadecimal: 22 
Decimal: 20.0 | Binary: 10100 | Hexadecimal: 14 
Decimal: 0.0 | Binary: 0 | Hexadecimal: 0 
Decimal: 25.0 | Binary: 11001 | Hexadecimal: 19 
Decimal: 45.0 | Binary: 101101 | Hexadecimal: 2D 
Decimal: 3.0 | Binary: 11 | Hexadecimal: 3 
Decimal: -46.0 | Binary: b101110 | Hexadecimal: X2E 
Decimal: -46.0 | Binary: b101110 | Hexadecimal: X2E 
Decimal: 29.0 | Binary: 11101 | Hexadecimal: 1D 
Decimal: 33.0 | Binary: 100001 | Hexadecimal: 21 
Decimal: 29.0 | Binary: 11101 | Hexadecimal: 1D 
Decimal: 26.0 | Binary: 11010 | Hexadecimal: 1A 
Decimal: -5.0 | Binary: b101 | Hexadecimal: X5 
Decimal: -36.0 | Binary: b100100 | Hexadecimal: X24 
